                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    145,                0.59499,                0.34299,                0.89444,                0.86943,                0.78711,                0.85797,                0.57128,                 1.2052,                0.72259,                 1.3903,              0.0005843,              0.0005843,              0.0005843
                    146,                0.56917,                0.33082,                0.89066,                0.84896,                0.79891,                0.85797,                0.57354,                 1.1937,                0.72534,                 1.3762,              0.0005744,              0.0005744,              0.0005744
                    147,                0.57985,                0.33308,                0.89346,                 0.8464,                0.81929,                0.86097,                0.57531,                 1.1968,                0.70761,                 1.3842,              0.0005645,              0.0005645,              0.0005645
                    148,                0.57763,                0.33686,                0.88918,                0.85685,                0.81114,                0.85792,                0.57264,                 1.2183,                0.72935,                 1.4126,              0.0005546,              0.0005546,              0.0005546
                    149,                0.57332,                0.32804,                0.90148,                0.88642,                0.80027,                0.86743,                0.57555,                 1.2246,                0.71686,                  1.419,              0.0005447,              0.0005447,              0.0005447
                    150,                0.57941,                0.33235,                0.89365,                0.86478,                0.80811,                0.86201,                0.57343,                 1.2286,                0.73659,                 1.4038,              0.0005348,              0.0005348,              0.0005348
                    151,                0.54465,                0.31347,                0.89083,                0.84724,                0.81386,                 0.8685,                0.58012,                 1.2014,                0.74292,                 1.3884,              0.0005249,              0.0005249,              0.0005249
                    152,                0.55816,                0.32426,                0.88269,                 0.8443,                0.80435,                0.85362,                0.56675,                 1.2299,                0.74101,                 1.4059,               0.000515,               0.000515,               0.000515
                    153,                0.52677,                0.31601,                0.88092,                0.84688,                0.80163,                0.85101,                 0.5733,                 1.2206,                0.73171,                 1.3971,              0.0005051,              0.0005051,              0.0005051
                    154,                0.54246,                0.31876,                 0.8883,                0.87368,                 0.7894,                0.86115,                0.58016,                 1.2288,                0.71849,                 1.4115,              0.0004952,              0.0004952,              0.0004952
