                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.84173,                 0.4786,                 1.0017,                0.87876,                0.77412,                0.86062,                0.56599,                 1.1941,                0.76487,                 1.3007,              0.0012773,              0.0012773,              0.0012773
                     76,                0.85852,                0.50207,                  1.022,                0.86447,                0.81046,                0.87482,                0.57845,                 1.1939,                0.70887,                 1.3174,              0.0012674,              0.0012674,              0.0012674
                     77,                0.80396,                 0.4538,                0.98631,                0.86617,                0.78425,                0.86792,                0.57984,                 1.1593,                0.73918,                 1.2761,              0.0012575,              0.0012575,              0.0012575
                     78,                0.83205,                0.46774,                 1.0014,                0.84632,                   0.82,                0.87187,                0.57925,                 1.1704,                0.72115,                 1.2983,              0.0012476,              0.0012476,              0.0012476
                     79,                0.77636,                0.44459,                0.98076,                0.88005,                0.80471,                0.86291,                0.57076,                 1.1727,                0.73649,                 1.3043,              0.0012377,              0.0012377,              0.0012377
                     80,                0.79492,                0.46782,                0.98294,                0.86876,                0.80588,                0.88096,                0.59435,                 1.1515,                0.71588,                 1.2943,              0.0012278,              0.0012278,              0.0012278
                     81,                0.81966,                0.45923,                 0.9909,                 0.8687,                0.80172,                0.88249,                0.59589,                  1.141,                0.72774,                  1.282,              0.0012179,              0.0012179,              0.0012179
                     82,                0.78992,                0.46388,                0.98428,                0.87123,                0.80588,                 0.8808,                0.58939,                 1.1412,                0.72443,                 1.2864,               0.001208,               0.001208,               0.001208
                     83,                0.83314,                0.47606,                0.99421,                 0.8604,                0.76706,                0.84334,                0.56748,                 1.1938,                0.79967,                 1.3076,              0.0011981,              0.0011981,              0.0011981
                     84,                 0.7898,                0.45302,                0.97239,                0.83817,                0.83176,                0.87801,                0.58416,                 1.1644,                0.71803,                 1.3164,              0.0011882,              0.0011882,              0.0011882
                     85,                0.76987,                0.44079,                0.98179,                0.86136,                0.80706,                0.87813,                0.59333,                 1.1657,                0.70236,                 1.3149,              0.0011783,              0.0011783,              0.0011783
                     86,                0.74609,                0.42961,                0.96012,                0.83278,                0.82235,                0.87458,                0.58715,                 1.1728,                0.73312,                 1.3233,              0.0011684,              0.0011684,              0.0011684
                     87,                0.75699,                0.43833,                0.97207,                0.85867,                0.79765,                0.87151,                0.58725,                 1.1822,                  0.739,                 1.3346,              0.0011585,              0.0011585,              0.0011585
                     88,                0.80231,                0.45194,                 0.9979,                0.85837,                0.79765,                0.86067,                0.58465,                 1.1579,                0.77405,                 1.3073,              0.0011486,              0.0011486,              0.0011486
                     89,                0.76111,                0.42819,                0.96689,                0.86101,                0.80166,                0.87708,                0.59474,                 1.1449,                0.73698,                 1.3077,              0.0011387,              0.0011387,              0.0011387
                     90,                0.76707,                0.42265,                0.96198,                0.83255,                0.82118,                0.86917,                0.58989,                 1.1564,                0.73229,                  1.316,              0.0011288,              0.0011288,              0.0011288
                     91,                0.77152,                0.43012,                0.96338,                0.87427,                0.78533,                0.87192,                0.58266,                  1.168,                0.73779,                 1.3249,              0.0011189,              0.0011189,              0.0011189
                     92,                0.73889,                0.42633,                0.96686,                0.88512,                0.77882,                0.87503,                0.59079,                 1.1469,                0.71641,                 1.3181,               0.001109,               0.001109,               0.001109
                     93,                0.72774,                0.41807,                0.94471,                 0.8595,                0.80606,                0.87219,                 0.5948,                 1.1427,                0.70872,                 1.3139,              0.0010991,              0.0010991,              0.0010991
                     94,                0.75827,                0.42132,                0.96967,                0.86933,                0.79176,                 0.8713,                0.59822,                 1.1419,                 0.7073,                 1.3075,              0.0010892,              0.0010892,              0.0010892
                     95,                0.72265,                0.41691,                0.95498,                0.82307,                0.80997,                0.86942,                0.59704,                 1.1568,                 0.7569,                   1.32,              0.0010793,              0.0010793,              0.0010793
                     96,                0.76842,                0.43317,                 0.9626,                0.82264,                0.82394,                0.87587,                0.59575,                 1.1606,                0.71101,                  1.329,              0.0010694,              0.0010694,              0.0010694
                     97,                0.76402,                0.42589,                0.95433,                 0.8512,                0.78235,                 0.8671,                0.58292,                  1.184,                0.75972,                 1.3437,              0.0010595,              0.0010595,              0.0010595
                     98,                0.76993,                0.43022,                0.95885,                0.84951,                0.76941,                0.85272,                 0.5701,                 1.1941,                0.75899,                 1.3573,              0.0010496,              0.0010496,              0.0010496
                     99,                0.73825,                0.41117,                0.94771,                0.81337,                0.82547,                0.86578,                0.58071,                 1.1773,                0.73914,                 1.3439,              0.0010397,              0.0010397,              0.0010397
                    100,                0.75019,                0.42558,                0.95074,                0.83711,                0.81014,                0.86526,                0.59177,                 1.1756,                0.73117,                 1.3329,              0.0010298,              0.0010298,              0.0010298
                    101,                0.72635,                0.41362,                0.95154,                0.85147,                0.79059,                0.86696,                0.59165,                 1.1585,                0.73224,                 1.2984,              0.0010199,              0.0010199,              0.0010199
                    102,                0.73654,                0.41829,                0.95834,                0.87382,                0.78217,                0.87245,                0.58961,                 1.1727,                0.72982,                 1.3119,                0.00101,                0.00101,                0.00101
                    103,                0.70792,                0.40022,                0.95589,                0.86199,                0.81647,                0.87475,                 0.5859,                 1.1863,                0.71486,                 1.3351,              0.0010001,              0.0010001,              0.0010001
                    104,                0.70871,                 0.4007,                0.94319,                0.84092,                0.77765,                0.85807,                0.57572,                 1.1993,                0.76702,                 1.3529,              0.0009902,              0.0009902,              0.0009902
                    105,                0.69719,                0.39083,                0.93395,                0.81943,                0.81294,                0.86411,                0.58369,                 1.1984,                0.74153,                 1.3522,              0.0009803,              0.0009803,              0.0009803
                    106,                0.70092,                0.39724,                0.93451,                0.83846,                0.81765,                0.87148,                 0.5815,                 1.2041,                0.72806,                 1.3638,              0.0009704,              0.0009704,              0.0009704
                    107,                0.72774,                0.40465,                0.93944,                0.85468,                0.79571,                0.86774,                0.57481,                 1.2106,                0.73168,                  1.376,              0.0009605,              0.0009605,              0.0009605
                    108,                0.69374,                 0.3863,                0.93104,                0.84752,                0.79529,                0.85537,                 0.5683,                 1.2002,                0.77725,                 1.3623,              0.0009506,              0.0009506,              0.0009506
                    109,                0.68529,                0.38392,                0.93539,                0.87694,                0.77882,                0.85775,                0.57067,                 1.1901,                0.76053,                 1.3514,              0.0009407,              0.0009407,              0.0009407
                    110,                0.66959,                0.38231,                0.92446,                0.88083,                0.79133,                0.86691,                0.58464,                 1.1838,                0.76601,                 1.3568,              0.0009308,              0.0009308,              0.0009308
                    111,                0.65264,                0.37745,                0.91919,                0.87566,                0.78713,                  0.875,                0.58803,                 1.1898,                0.74918,                 1.3641,              0.0009209,              0.0009209,              0.0009209
                    112,                0.68043,                0.39533,                0.93841,                0.88402,                0.76824,                0.86124,                0.57399,                  1.194,                0.77146,                 1.3615,               0.000911,               0.000911,               0.000911
                    113,                 0.6838,                0.38576,                0.93412,                0.89062,                0.77059,                0.86548,                0.57434,                 1.2175,                0.78912,                 1.3634,              0.0009011,              0.0009011,              0.0009011
                    114,                0.65873,                0.37254,                   0.93,                0.85649,                0.78637,                0.85548,                0.57393,                 1.2112,                0.78805,                 1.3627,              0.0008912,              0.0008912,              0.0008912
                    115,                0.69663,                0.38484,                0.94478,                0.87527,                0.78588,                0.86628,                0.57859,                 1.1918,                0.75185,                 1.3457,              0.0008813,              0.0008813,              0.0008813
                    116,                0.66769,                 0.3812,                0.92306,                0.86313,                0.80118,                0.87032,                0.58341,                 1.2172,                0.74515,                 1.3741,              0.0008714,              0.0008714,              0.0008714
                    117,                0.68108,                0.38337,                0.94046,                0.88294,                0.78085,                0.86911,                0.58799,                 1.2227,                0.74278,                 1.3979,              0.0008615,              0.0008615,              0.0008615
                    118,                0.64089,                0.37091,                0.92212,                0.85182,                0.80471,                0.84769,                 0.5628,                 1.2132,                0.78775,                 1.3801,              0.0008516,              0.0008516,              0.0008516
                    119,                0.66936,                0.37475,                0.91925,                0.85102,                0.79299,                0.85579,                 0.5674,                 1.2151,                 0.7443,                 1.3854,              0.0008417,              0.0008417,              0.0008417
                    120,                0.64965,                0.38106,                0.92681,                0.86386,                0.79129,                0.86368,                0.57893,                 1.2005,                0.73913,                 1.3792,              0.0008318,              0.0008318,              0.0008318
                    121,                0.69048,                0.37707,                0.93252,                0.83763,                0.81325,                0.87065,                0.58702,                 1.1941,                 0.7324,                 1.3604,              0.0008219,              0.0008219,              0.0008219
