                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.6146,                0.73539,                   1.07,                0.91965,                0.86877,                 0.9452,                0.54938,                 1.4947,                0.67438,                 1.0421,              0.0013862,              0.0013862,              0.0013862
                     65,                 1.6225,                 0.7345,                 1.0699,                0.91283,                0.87075,                0.94424,                 0.5423,                 1.5024,                0.67837,                 1.0415,              0.0013763,              0.0013763,              0.0013763
                     66,                 1.6253,                0.73502,                 1.0711,                0.91508,                0.87206,                 0.9447,                0.54051,                 1.4874,                0.68118,                 1.0405,              0.0013664,              0.0013664,              0.0013664
                     67,                 1.6138,                0.72819,                 1.0611,                0.90836,                0.87442,                0.94074,                0.52942,                 1.5457,                0.68538,                 1.0638,              0.0013565,              0.0013565,              0.0013565
                     68,                 1.6103,                0.73101,                 1.0616,                0.90409,                0.88366,                0.94343,                0.54088,                  1.493,                0.67805,                 1.0395,              0.0013466,              0.0013466,              0.0013466
                     69,                 1.6104,                0.73203,                 1.0611,                0.90909,                0.87253,                0.94351,                0.54792,                 1.4915,                0.67764,                 1.0486,              0.0013367,              0.0013367,              0.0013367
                     70,                 1.5972,                0.72667,                 1.0594,                0.92034,                0.88138,                0.94916,                0.53582,                 1.5222,                0.66266,                 1.0615,              0.0013268,              0.0013268,              0.0013268
                     71,                 1.6136,                0.73193,                 1.0629,                0.91397,                0.87602,                0.94739,                0.55455,                  1.464,                0.66581,                 1.0377,              0.0013169,              0.0013169,              0.0013169
                     72,                 1.6005,                0.72083,                 1.0578,                 0.9153,                0.87968,                0.94797,                 0.5597,                 1.4447,                 0.6669,                 1.0296,               0.001307,               0.001307,               0.001307
                     73,                 1.5993,                 0.7251,                 1.0613,                0.91577,                0.87715,                0.94835,                0.53962,                 1.5128,                0.67265,                 1.0416,              0.0012971,              0.0012971,              0.0012971
                     74,                 1.5959,                 0.7261,                 1.0618,                0.90914,                0.88836,                0.95021,                0.56656,                 1.4365,                0.66399,                 1.0255,              0.0012872,              0.0012872,              0.0012872
                     75,                 1.5933,                0.72333,                   1.06,                0.91268,                0.88046,                  0.947,                 0.5433,                 1.4891,                0.67121,                 1.0432,              0.0012773,              0.0012773,              0.0012773
                     76,                 1.6044,                0.72388,                  1.061,                0.91828,                0.87758,                0.94716,                0.54333,                  1.495,                 0.6704,                 1.0485,              0.0012674,              0.0012674,              0.0012674
                     77,                  1.602,                0.72705,                 1.0616,                0.91131,                0.87769,                0.94456,                  0.548,                 1.4958,                0.66856,                 1.0433,              0.0012575,              0.0012575,              0.0012575
