                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.98242,                0.61927,                 1.0459,                0.85744,                0.77634,                0.88002,                  0.567,                 1.1921,                0.78061,                 1.2287,              0.0013268,              0.0013268,              0.0013268
                     71,                 0.9356,                 0.6009,                  1.047,                0.83975,                0.77717,                0.87395,                0.55984,                 1.2161,                0.79277,                 1.2674,              0.0013169,              0.0013169,              0.0013169
                     72,                0.95318,                0.63024,                 1.0403,                0.78448,                0.80611,                0.86703,                0.55304,                   1.22,                0.82721,                 1.2589,               0.001307,               0.001307,               0.001307
                     73,                0.94184,                0.60328,                 1.0337,                0.81205,                0.79755,                0.85655,                0.55443,                 1.1765,                0.85371,                 1.2255,              0.0012971,              0.0012971,              0.0012971
                     74,                0.96053,                0.60552,                 1.0404,                0.85341,                0.77989,                0.86293,                0.56562,                 1.1488,                0.82587,                 1.2013,              0.0012872,              0.0012872,              0.0012872
                     75,                0.93826,                0.59572,                 1.0344,                0.83137,                0.79041,                0.85181,                0.55106,                 1.1828,                0.85844,                 1.2482,              0.0012773,              0.0012773,              0.0012773
                     76,                 0.9675,                0.62398,                 1.0619,                0.85748,                0.79296,                0.86089,                0.56132,                 1.2002,                0.83549,                 1.2395,              0.0012674,              0.0012674,              0.0012674
                     77,                0.89746,                0.55466,                   1.02,                0.85134,                0.79365,                0.86211,                0.57627,                 1.1926,                0.77459,                  1.247,              0.0012575,              0.0012575,              0.0012575
                     78,                0.94992,                0.58359,                 1.0497,                 0.8122,                0.81677,                0.86399,                0.58237,                 1.1857,                0.78496,                 1.2459,              0.0012476,              0.0012476,              0.0012476
                     79,                0.88018,                0.55459,                 1.0185,                0.86542,                0.77989,                 0.8619,                0.56602,                 1.1951,                0.81148,                 1.2444,              0.0012377,              0.0012377,              0.0012377
                     80,                0.92245,                0.56599,                 1.0281,                0.83838,                0.79348,                0.87021,                0.55798,                  1.215,                0.80211,                  1.253,              0.0012278,              0.0012278,              0.0012278
                     81,                0.92494,                0.56615,                 1.0271,                0.82194,                0.80571,                0.86634,                0.55328,                 1.2333,                0.82027,                 1.2587,              0.0012179,              0.0012179,              0.0012179
                     82,                0.91847,                 0.5823,                 1.0231,                0.80806,                0.79891,                0.85533,                0.55362,                 1.2439,                0.80076,                 1.2844,               0.001208,               0.001208,               0.001208
                     83,                0.94002,                0.58658,                 1.0335,                0.82008,                 0.7962,                0.84798,                0.54917,                 1.2375,                 0.8016,                 1.2732,              0.0011981,              0.0011981,              0.0011981
                     84,                0.92791,                0.58623,                 1.0264,                0.84702,                0.80299,                0.87545,                0.55528,                 1.2441,                0.77962,                 1.2813,              0.0011882,              0.0011882,              0.0011882
                     85,                0.88198,                0.53718,                 1.0161,                0.87124,                0.77224,                0.86122,                0.54811,                 1.2181,                0.82322,                 1.2777,              0.0011783,              0.0011783,              0.0011783
                     86,                0.88563,                0.54969,                  1.009,                0.81347,                0.82201,                0.86347,                0.54577,                 1.2274,                0.80382,                 1.2884,              0.0011684,              0.0011684,              0.0011684
                     87,                0.88635,                0.55298,                 1.0213,                0.84132,                0.79964,                0.86137,                0.54487,                 1.2322,                0.78041,                 1.2998,              0.0011585,              0.0011585,              0.0011585
                     88,                 0.9304,                0.58372,                 1.0429,                 0.8743,                0.77717,                0.86795,                0.55777,                 1.2221,                 0.8136,                 1.2905,              0.0011486,              0.0011486,              0.0011486
                     89,                0.89437,                0.54969,                 1.0153,                  0.844,                0.80127,                 0.8585,                0.55892,                 1.2052,                0.81888,                 1.2572,              0.0011387,              0.0011387,              0.0011387
                     90,                0.90407,                0.54071,                 1.0117,                0.81951,                0.78397,                 0.8402,                0.55055,                 1.2178,                0.82882,                 1.2597,              0.0011288,              0.0011288,              0.0011288
                     91,                0.89181,                 0.5412,                 1.0046,                0.85445,                0.76574,                0.85485,                0.54272,                  1.223,                0.82713,                 1.2921,              0.0011189,              0.0011189,              0.0011189
                     92,                0.85615,                0.51901,                 1.0027,                0.85078,                0.78239,                0.85781,                 0.5627,                 1.2211,                0.80608,                 1.2895,               0.001109,               0.001109,               0.001109
                     93,                0.86221,                 0.5201,                0.98963,                0.80965,                0.80163,                0.85517,                0.55587,                 1.2119,                  0.817,                 1.2652,              0.0010991,              0.0010991,              0.0010991
                     94,                0.88096,                0.53468,                 1.0124,                0.82098,                0.80027,                0.84862,                0.56098,                 1.1943,                0.80023,                 1.2663,              0.0010892,              0.0010892,              0.0010892
                     95,                0.85573,                0.51615,                0.99402,                0.83203,                0.81114,                0.85399,                0.56206,                 1.1974,                0.79522,                 1.2673,              0.0010793,              0.0010793,              0.0010793
                     96,                0.89764,                 0.5312,                 1.0073,                0.82598,                0.80842,                0.86586,                0.55379,                 1.2417,                0.77875,                 1.2901,              0.0010694,              0.0010694,              0.0010694
                     97,                0.88201,                0.51931,                0.99721,                0.81991,                 0.8125,                0.86048,                0.55735,                 1.2353,                0.76901,                 1.2717,              0.0010595,              0.0010595,              0.0010595
                     98,                0.90942,                0.53624,                 1.0091,                0.84443,                0.79652,                0.85249,                 0.5564,                 1.2281,                0.81034,                 1.2715,              0.0010496,              0.0010496,              0.0010496
                     99,                0.87518,                0.51544,                0.99468,                0.83002,                0.80279,                0.85791,                0.56013,                  1.262,                0.79302,                 1.3083,              0.0010397,              0.0010397,              0.0010397
                    100,                0.90565,                0.53217,                 1.0083,                0.81619,                0.78125,                0.83949,                0.53959,                 1.2588,                 0.8716,                  1.288,              0.0010298,              0.0010298,              0.0010298
                    101,                0.88645,                0.52728,                 1.0064,                 0.8184,                0.80435,                0.85338,                0.56053,                 1.2386,                0.80393,                 1.2676,              0.0010199,              0.0010199,              0.0010199
                    102,                0.87239,                0.51326,                 1.0048,                0.85033,                0.79076,                0.85967,                0.55703,                 1.2222,                0.80546,                 1.2751,                0.00101,                0.00101,                0.00101
                    103,                0.83703,                0.49855,                0.99972,                 0.8335,                0.79577,                0.85658,                0.54578,                 1.2514,                0.79827,                 1.3042,              0.0010001,              0.0010001,              0.0010001
                    104,                0.85017,                0.50889,                0.99012,                0.82438,                0.77989,                0.83705,                0.53304,                 1.2695,                0.84705,                 1.3159,              0.0009902,              0.0009902,              0.0009902
                    105,                0.84022,                0.49274,                0.98312,                 0.8388,                0.82337,                0.86445,                0.56282,                 1.2174,                0.78017,                 1.2876,              0.0009803,              0.0009803,              0.0009803
                    106,                0.83031,                0.49447,                0.98117,                0.86357,                0.74822,                0.84151,                0.54021,                 1.2489,                0.85006,                 1.3192,              0.0009704,              0.0009704,              0.0009704
                    107,                0.87793,                0.51803,                 0.9903,                0.82994,                0.80897,                0.85279,                0.56065,                 1.1988,                0.78391,                 1.2565,              0.0009605,              0.0009605,              0.0009605
                    108,                0.83935,                0.49621,                0.97929,                0.83488,                0.81386,                0.86112,                0.56282,                 1.2212,                0.77957,                 1.2794,              0.0009506,              0.0009506,              0.0009506
                    109,                0.81818,                 0.4826,                0.97778,                0.85797,                0.78397,                0.86074,                0.56435,                 1.2285,                0.77744,                 1.2872,              0.0009407,              0.0009407,              0.0009407
                    110,                0.82576,                0.48095,                0.97785,                0.84715,                0.78261,                0.86555,                0.55877,                 1.2255,                0.76968,                 1.2899,              0.0009308,              0.0009308,              0.0009308
                    111,                 0.7999,                0.47615,                0.96903,                0.84206,                0.77853,                0.85692,                0.55768,                 1.2273,                0.79304,                 1.2869,              0.0009209,              0.0009209,              0.0009209
                    112,                0.82204,                0.49462,                0.98023,                0.80298,                 0.8288,                0.85835,                0.55701,                  1.235,                0.75662,                 1.2937,               0.000911,               0.000911,               0.000911
                    113,                0.83095,                0.49194,                  0.982,                0.83452,                0.80842,                0.85363,                0.55487,                 1.2328,                0.78015,                 1.2883,              0.0009011,              0.0009011,              0.0009011
                    114,                0.81311,                0.47316,                0.98154,                0.85783,                0.80299,                0.86216,                0.56748,                 1.2208,                0.75281,                 1.2831,              0.0008912,              0.0008912,              0.0008912
                    115,                0.82062,                0.47584,                0.98354,                0.84288,                0.81635,                0.86552,                0.57057,                 1.2127,                 0.7469,                 1.2672,              0.0008813,              0.0008813,              0.0008813
